Log_Return,Date
-0.0167373369932928,2018-06-20
-0.124103885362948,2018-06-21
0.018510920531674,2018-06-22
-0.0361509798206221,2018-06-23
0.00574740741333457,2018-06-24
-0.0616891338420214,2018-06-25
0.0219242731863618,2018-06-26
-0.0462654651143399,2018-06-27
0.0317930467841183,2018-06-28
0.0430300375188217,2018-06-29
-0.00277636695218497,2018-06-30
0.0461284693050175,2018-07-01
-0.0237402944471743,2018-07-02
0.00670521549512859,2018-07-03
0.0150661619328467,2018-07-04
-0.000843492008111291,2018-07-05
0.0365548057647942,2018-07-06
-0.00518163970908514,2018-07-07
-0.0257561725329873,2018-07-08
-0.0928285755522333,2018-07-09
0.0274586832183275,2018-07-10
-0.0375224257211091,2018-07-11
0.00914946404845463,2018-07-12
0.00473270673264015,2018-07-13
0.0310747378893472,2018-07-14
